Word	Declined	0	1
brachium:Dat.Sg	brachiō	ō	ō
brachium:Acc.Pl	brachia	a	a
brachium:Gen.Sg	brachiī	ī	ī
brachium:Gen.Pl	brachiōrum	ōrum	ēs
brachium:Abl.Sg	brachiō	ō	em
brachium:Nom.Pl	brachia	a	a
brachium:Acc.Sg	brachium	um	um
brachium:Dat.Pl	brachiīs	īs	īs
caedes:Nom.Sg	caedēs	ēs	ēs
caedes:Abl.Pl	caedibus	ibus	ibus
caedes:Dat.Sg	caedī	ī	ī
caedes:Acc.Pl	caedēs	ēs	ēs
caedes:Gen.Sg	caedis	is	is
caedes:Gen.Pl	caedium	ium	ēbus
caedes:Abl.Sg	caede	e	e
caedes:Nom.Pl	caedēs	ēs	ēs
caedes:Acc.Sg	caedem	em	em
caedes:Dat.Pl	caedibus	ibus	ibus
caelum:Nom.Sg	caelum	um	um
caelum:Abl.Pl	caelīs	īs	īs
caelum:Dat.Sg	caelō	ō	ō
caelum:Acc.Pl	caela	a	a
caelum:Gen.Sg	caelī	ī	ī
caelum:Gen.Pl	caelōrum	ōrum	ēs
caelum:Abl.Sg	caelō	ō	ō
caelum:Nom.Pl	caela	a	a
caelum:Acc.Sg	caelum	um	um
caelum:Dat.Pl	caelīs	īs	īs
calor:Nom.Sg	calor	NULL	NULL
calor:Abl.Pl	calōribus	ibus	ibus
calor:Dat.Sg	calōrī	ī	ī
calor:Acc.Pl	calōrēs	ēs	ēs
calor:Gen.Sg	calōris	is	is
calor:Gen.Pl	calōrum	um	um
calor:Abl.Sg	calōre	e	e
calor:Nom.Pl	calōrēs	ēs	ēs
calor:Acc.Sg	calōrem	em	em
calor:Dat.Pl	calōribus	ibus	ibus
campus:Nom.Sg	campus	us	us
campus:Abl.Pl	campīs	īs	a
campus:Dat.Sg	campō	ō	ō
campus:Acc.Pl	campōs	ōs	ūs
campus:Gen.Sg	campī	ī	ī
campus:Gen.Pl	campōrum	ōrum	ēs
campus:Abl.Sg	campō	ō	ō
campus:Nom.Pl	campī	ī	ī
campus:Acc.Sg	campum	um	um
campus:Dat.Pl	campīs	īs	a
canis:Nom.Sg	canis	is	īs
canis:Abl.Pl	canibus	ibus	ibus
canis:Dat.Sg	canī	ī	ī
canis:Acc.Pl	canēs	ēs	ēs
canis:Gen.Sg	canis	is	is
canis:Gen.Pl	canum	um	um
canis:Abl.Sg	cane	e	e
canis:Nom.Pl	canēs	ēs	ēs
canis:Acc.Sg	canem	em	em
canis:Dat.Pl	canibus	ibus	ibus
cantus:Nom.Sg	cantus	us	us
cantus:Abl.Pl	cantibus	ibus	ibus
cantus:Dat.Sg	cantuī	uī	um
cantus:Acc.Pl	cantūs	ūs	us
cantus:Gen.Sg	cantūs	ūs	ūs
cantus:Gen.Pl	cantuum	uum	ēs
cantus:Abl.Sg	cantū	ū	ū
cantus:Nom.Pl	cantūs	ūs	us
cantus:Acc.Sg	cantum	um	um
cantus:Dat.Pl	cantibus	ibus	ibus
capillus:Nom.Sg	capillus	us	us
capillus:Abl.Pl	capillīs	īs	īs
capillus:Dat.Sg	capillō	ō	e
capillus:Acc.Pl	capillōs	ōs	ūs
capillus:Gen.Sg	capillī	ī	ī
capillus:Gen.Pl	capillōrum	ōrum	ēs
capillus:Abl.Sg	capillō	ō	ō
capillus:Nom.Pl	capillī	ī	ī
capillus:Acc.Sg	capillum	um	um
capillus:Dat.Pl	capillīs	īs	īs
caput:Nom.Sg	caput	NULL	NULL
caput:Abl.Pl	capitibus	ibus	ibus
caput:Dat.Sg	capitī	ī	ī
caput:Acc.Pl	capita	a	a
caput:Gen.Sg	capitis	is	is
caput:Gen.Pl	capitum	um	ēs
caput:Abl.Sg	capite	e	e
caput:Nom.Pl	capita	a	a
caput:Acc.Sg	caput	NULL	NULL
caput:Dat.Pl	capitibus	ibus	ibus
